uri_path	country	hits
/mediawiki/1.6/mediawiki-1.6.11.tar.gz	United States	62
/mediawiki/1.17/mediawiki-1.17.0.patch.gz	United States	62
/mediawiki/1.13/mediawiki-1.13.0.patch.gz	United States	62
/mediawiki/1.4/mediawiki-1.4.14.tar.gz	United States	62
/mediawiki/1.4/mediawiki-1.4.12.tar.gz	United States	62
/mediawiki/1.7/mediawiki-1.7.3.tar.gz	United States	62
/mediawiki/1.3/mediawiki-1.3.12.tar.gz	United States	62
/mediawiki/1.20/mediawiki-1.20.8.patch.gz	United States	61
/mediawiki/1.14/mediawiki-1.14.0.patch.gz	United States	61
/mediawiki/1.19/mediawiki-1.19.10.tar.gz	United States	61
/mediawiki/snapshot/mediawiki-snapshot-20060316.tar.gz	United States	61
/mediawiki/1.23/mediawiki-1.23.0-rc.1.tar.gz	United States	61
/mediawiki/1.8/mediawiki-1.8.5.tar.gz	United States	61
/mediawiki/1.23/mediawiki-1.23.0-rc.1.patch.gz	United States	61
/mediawiki/1.4/mediawiki-1.4.4.tar.gz	United States	61
/mediawiki/1.19/mediawiki-1.19.10.patch.gz	United States	60
/mediawiki/1.11/mediawiki-1.11.2.tar.gz	United States	60
/mediawiki/1.22/mediawiki-1.22.0rc0.tar.gz	United States	60
/mediawiki/1.21/mediawiki-1.21.0.patch.gz	United States	60
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Morocco	60
/mediawiki/1.24/mediawiki-1.24.0-rc.1.patch.gz	United States	60
/mediawiki/1.16/mediawiki-1.16.0.patch.gz	United States	60
/mediawiki/1.12/mediawiki-1.12.0.patch.gz	United States	60
/mediawiki/1.24/mediawiki-1.24.0-rc.1.tar.gz	United States	60
/mediawiki/1.24/mediawiki-1.24.0-rc.0.tar.gz	United States	60
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Hong Kong	59
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Singapore	58
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Nepal	57
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Iran	55
/mediawiki/1.3/mediawiki-1.3.18.tar.gz	United States	50
/mediawiki/1.22/mediawiki-1.22.2.tar.gz	Germany	48
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Egypt	47
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Denmark	46
/mediawiki/1.12/mediawiki-1.12.1.tar.gz	United States	46
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Romania	45
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Madagascar	45
/mediawiki/1.25/mediawiki-1.25.1.patch.gz	United States	45
/mediawiki/1.12/mediawiki-1.12.1.patch.gz	United States	44
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Bangladesh	43
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Malaysia	42
/mediawiki/1.25/mediawiki-core-1.25.1.tar.gz	United States	41
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Colombia	40
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Pakistan	39
/mediawiki/1.23/mediawiki-1.23.3.tar.gz	United States	39
