uri_path	country	hits
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Israel	44
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Turkey	43
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Ukraine	43
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	Germany	42
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Czech Republic	42
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Sweden	42
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Mexico	41
/mediawiki/1.19/mediawiki-1.19.24.tar.gz	China	41
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Hong Kong	40
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Indonesia	40
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	South Africa	38
/mediawiki/1.16/mediawiki-1.16.0.tar.gz	United States	38
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Greece	37
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Russia	36
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Malaysia	36
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Ireland	36
/mediawiki/1.18/mediawiki-1.18.6.tar.gz	United States	36
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	India	36
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	India	35
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Romania	35
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Turkey	35
/mediawiki/1.25/mediawiki-1.25.0-rc.0.tar.gz	United States	34
/mediawiki/1.17/mediawiki-1.17.0.tar.gz	United States	34
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Singapore	33
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	France	33
/mediawiki/1.25/mediawiki-1.25.1.tar.gz	Bangladesh	33
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Morocco	33
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Thailand	32
/mediawiki/1.3/mediawiki-1.3.15.tar.gz	United States	31
/mediawiki/1.23/mediawiki-1.23.9.tar.gz	Republic of Korea	31
/mediawiki/1.25/mediawiki-1.25.0.tar.gz	Canada	31
/mediawiki/1.24/mediawiki-1.24.2.tar.gz	Venezuela	31
/mediawiki/1.13/mediawiki-1.13.0.tar.gz	United States	30
